Price,Close,High,Low,Open,Volume
Ticker,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS
Date,,,,,
8/20/2021,77557.75,78871.00541,77287.60533,78871.00541,8520
8/23/2021,75656.42188,78175.65859,75444.93919,78175.65859,14541
8/24/2021,76644.86719,76886.29785,75509.26615,75991.28933,12172
8/25/2021,76503.40625,77461.44592,76227.2549,76726.32024,12272
8/26/2021,76055.41406,76751.20937,75792.62635,76618.10043,8394
8/27/2021,76441.72656,76818.40029,76055.40647,76140.29135,6617
8/30/2021,77665.58594,77853.77925,76487.96922,76487.96922,9045
8/31/2021,79212.48438,79324.03451,77737.40575,77779.32823,14859
9/1/2021,79422.96094,80024.24043,78712.86304,79468.01092,10789
9/2/2021,80724.75,81331.0894,79509.19204,79858.40119,14947
9/3/2021,81849.90625,82050.81129,80967.85801,81404.03955,15764
9/6/2021,80863.52344,82646.73445,80738.26043,82150.05936,10180
9/7/2021,80545.5,81752.7153,80352.13819,81241.13999,11928
9/8/2021,79706.40625,80888.14356,79279.26574,80838.82528,9413
9/9/2021,79336.78906,80928.19033,79269.34214,79766.01722,14454
9/13/2021,79710,79872.41276,78723.00566,79269.34829,7150
9/14/2021,79889.03906,80309.42016,79519.70685,79696.4766,9958
9/15/2021,79676.76563,80456.39807,79583.88738,79985.55008,9413
9/16/2021,79439.91406,80064.03294,79270.34606,80064.03294,6457
9/17/2021,78869.26563,79805.54465,78326.64814,79468.00739,13253
9/20/2021,78350.94531,79418.34664,77987.92239,78663.40051,11737
9/21/2021,77852.58594,78505.76031,77530.98879,78345.53601,10584
9/22/2021,79461.85938,80014.3639,77977.99585,77977.99585,16457
9/23/2021,79687.24219,80460.36345,79469.54331,80064.01677,6530
9/24/2021,78928.13281,80153.43033,78529.34926,79964.69378,11095
9/27/2021,81348.82813,81454.72081,78618.35661,79417.35944,20927
9/28/2021,79953.35938,81345.43863,79279.27045,81215.70556,14053
9/29/2021,78530.99219,79896.64694,78376.37102,79772.08238,25732
9/30/2021,78847.71875,79150.10077,78129.02985,79021.0118,16379
10/1/2021,78469.07813,78842.1819,77987.90098,78474.64244,8506
10/4/2021,79256.44531,80016.31178,78872.01872,78948.70847,10101
10/5/2021,78879.15625,79537.54562,78705.1182,79219.67357,5361
10/6/2021,78106.625,79358.74285,77977.98616,79115.37207,9556
10/7/2021,80732.08594,80904.78139,78335.68334,78623.6074,22060
10/8/2021,85289.49219,85799.0808,80560.79635,80759.36549,54225
10/11/2021,84368.10938,86967.80767,84157.07679,85289.04587,28671
